Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,number_established_years
non-consumable,8.02,low_fat,0.0,household,157.7972,out013,high,tier_3,supermarket_type1,1713.7692,34
food,12.35,low_fat,0.026832182,canned,57.3246,out017,ultra_high,tier_2,supermarket_type1,1332.2658,14
non-consumable,16.75,low_fat,0.032652796,health_and_hygiene,190.8162,out045,ultra_high,tier_2,supermarket_type1,2886.243,19
non-consumable,5.11,low_fat,0.034874689,household,161.721,out046,small,tier_1,supermarket_type1,2446.815,24
non-consumable,15.1,low_fat,0.055793586,household,139.7496,out013,high,tier_3,supermarket_type1,3952.1888,34
non-consumable,12.857645184135976,low_fat,0.134418705,household,99.67,out027,medium,tier_3,supermarket_type3,2596.62,36
food,8.5,low_fat,0.098083231,canned,50.3324,out045,ultra_high,tier_2,supermarket_type1,675.1212,19
food,10.0,regular,0.063121982,frozen_foods,231.7668,out013,high,tier_3,supermarket_type1,460.7336,34
food,16.6,low_fat,0.122204371,fruits_and_vegetables,173.5738,out035,small,tier_2,supermarket_type1,1911.5118,17
food,14.6,regular,0.043133816,fruits_and_vegetables,109.7254,out018,medium,tier_3,supermarket_type2,651.1524,12
drinks,19.1,low_fat,0.075836522,dairy,40.2138,out010,ultra_high,tier_3,grocery_store,81.2276,23
non-consumable,14.8,low_fat,0.019476708,health_and_hygiene,193.0794,out035,small,tier_2,supermarket_type1,3901.588,17
food,20.85,low_fat,0.121227447,snack_foods,197.5452,out035,small,tier_2,supermarket_type1,4306.3944,17
food,16.0,regular,0.099188598,frozen_foods,88.9856,out013,high,tier_3,supermarket_type1,1669.8264,34
food,12.857645184135976,low_fat,0.045900448,snack_foods,118.9124,out027,medium,tier_3,supermarket_type3,2844.2976,36
food,12.3,low_fat,0.0,baking_goods,37.2874,out013,high,tier_3,supermarket_type1,705.748,34
food,15.7,regular,0.11521312,canned,112.0202,out017,ultra_high,tier_2,supermarket_type1,3150.5656,14
food,7.81,regular,0.055226755,canned,123.1046,out046,small,tier_1,supermarket_type1,871.5322,24
food,8.38,regular,0.046960237,baking_goods,111.857,out049,medium,tier_1,supermarket_type1,2966.139,22
non-consumable,14.0,low_fat,0.028980533,health_and_hygiene,129.531,out018,medium,tier_3,supermarket_type2,2077.296,12
food,15.5,regular,0.086184647,frozen_foods,50.9692,out018,medium,tier_3,supermarket_type2,394.1536,12
drinks,8.395,low_fat,0.072383777,hard_drinks,251.504,out017,ultra_high,tier_2,supermarket_type1,7084.112,14
drinks,7.85,low_fat,0.162980276,hard_drinks,145.2444,out046,small,tier_1,supermarket_type1,1451.444,24
food,13.15,low_fat,0.020715913,breads,83.5566,out046,small,tier_1,supermarket_type1,1268.349,24
food,10.1,regular,0.053887301,fruits_and_vegetables,225.6088,out017,ultra_high,tier_2,supermarket_type1,4250.4672,14
non-consumable,15.7,low_fat,0.160663021,household,59.4562,out046,small,tier_1,supermarket_type1,829.5868,24
food,11.8,regular,0.014115626,frozen_foods,178.5344,out045,ultra_high,tier_2,supermarket_type1,3390.2536,19
food,14.65,regular,0.099113429,snack_foods,52.8666,out035,small,tier_2,supermarket_type1,461.3994,17
food,18.0,low_fat,0.039231652,snack_foods,145.1418,out017,ultra_high,tier_2,supermarket_type1,2648.5524,14
food,20.25,regular,0.022936488,baking_goods,240.8538,out035,small,tier_2,supermarket_type1,7931.6754,17
food,10.3,regular,0.0,fruits_and_vegetables,189.053,out045,ultra_high,tier_2,supermarket_type1,5313.084,19
food,5.365,regular,0.234733477,seafood,173.4764,out010,ultra_high,tier_3,grocery_store,171.7764,23
food,7.825,regular,0.149890395,frozen_foods,159.0288,out013,high,tier_3,supermarket_type1,1257.0304,34
drinks,8.27,regular,0.214125129,soft_drinks,183.9924,out010,ultra_high,tier_3,grocery_store,185.0924,23
food,14.85,low_fat,0.15643727,baking_goods,142.0812,out010,ultra_high,tier_3,grocery_store,284.9624,23
food,12.5,low_fat,0.031097948,fruits_and_vegetables,103.899,out049,medium,tier_1,supermarket_type1,1960.781,22
food,12.857645184135976,regular,0.2004264,baking_goods,88.8514,out019,small,tier_1,grocery_store,265.6542,36
food,12.857645184135976,regular,0.0,frozen_foods,37.0506,out027,medium,tier_3,supermarket_type3,986.7156,36
food,9.6,regular,0.02734361,snack_foods,257.8304,out046,small,tier_1,supermarket_type1,1808.3128,24
drinks,4.61,low_fat,0.123346085,hard_drinks,172.5396,out017,ultra_high,tier_2,supermarket_type1,3663.2316,14
non-consumable,20.25,low_fat,0.0,household,145.6418,out013,high,tier_3,supermarket_type1,3384.2614,34
food,17.75,low_fat,0.058168807,dairy,249.575,out010,ultra_high,tier_3,grocery_store,499.35,23
food,9.0,low_fat,0.08630486,snack_foods,168.0816,out018,medium,tier_3,supermarket_type2,2181.1608,12
food,12.857645184135976,low_fat,0.0,baking_goods,100.1384,out027,medium,tier_3,supermarket_type3,2956.152,36
food,20.5,regular,0.112316501,fruits_and_vegetables,193.9478,out013,high,tier_3,supermarket_type1,4456.1994,34
food,12.857645184135976,regular,0.23653561,starchy_foods,184.1924,out019,small,tier_1,grocery_store,185.0924,36
food,15.0,regular,0.026950104,baking_goods,220.9456,out018,medium,tier_3,supermarket_type2,1768.3648,12
food,5.175,low_fat,0.037457098,canned,83.4224,out049,medium,tier_1,supermarket_type1,1448.7808,22
food,15.15,regular,0.066311153,frozen_foods,145.776,out045,ultra_high,tier_2,supermarket_type1,3954.852,19
food,10.895,low_fat,0.059834024,fruits_and_vegetables,133.5284,out010,ultra_high,tier_3,grocery_store,263.6568,23
drinks,6.13,low_fat,0.076855207,dairy,59.3536,out049,medium,tier_1,supermarket_type1,1470.0864,22
drinks,10.8,low_fat,0.0,hard_drinks,72.338,out049,medium,tier_1,supermarket_type1,805.618,22
food,12.857645184135976,low_fat,0.08279545,frozen_foods,245.8776,out027,medium,tier_3,supermarket_type3,4705.8744,36
food,17.6,regular,0.039381633,snack_foods,98.041,out018,medium,tier_3,supermarket_type2,675.787,12
food,7.935,lf,0.017141985,dairy,50.035,out013,high,tier_3,supermarket_type1,149.805,34
non-consumable,13.6,lf,0.010033871,household,177.937,out018,medium,tier_3,supermarket_type2,2293.681,12
drinks,8.26,regular,0.032435437,soft_drinks,124.873,out035,small,tier_2,supermarket_type1,2956.152,17
non-consumable,6.26,low_fat,0.031599715,household,111.3228,out017,ultra_high,tier_2,supermarket_type1,2431.5016,14
food,20.75,low_fat,0.108879177,snack_foods,161.5578,out049,medium,tier_1,supermarket_type1,320.9156,22
non-consumable,8.18,low_fat,0.0,household,140.5154,out045,ultra_high,tier_2,supermarket_type1,1701.7848,19
food,10.195,low_fat,0.042113173,snack_foods,42.5428,out018,medium,tier_3,supermarket_type2,878.856,12
food,12.857645184135976,regular,0.104786172,snack_foods,172.2764,out027,medium,tier_3,supermarket_type3,1545.9876,36
non-consumable,7.67,low_fat,0.309390255,household,33.2216,out010,ultra_high,tier_3,grocery_store,138.4864,23
food,11.65,low_fat,0.174049032,dairy,52.9298,out046,small,tier_1,supermarket_type1,647.1576,24
food,13.1,regular,0.098765906,frozen_foods,196.3768,out035,small,tier_2,supermarket_type1,2167.8448,17
non-consumable,19.1,low_fat,0.067676056,household,40.8796,out017,ultra_high,tier_2,supermarket_type1,371.5164,14
food,16.75,low_fat,0.060495243,dairy,169.8106,out013,high,tier_3,supermarket_type1,3251.1014,34
food,6.675,low_fat,0.0,snack_foods,92.9462,out018,medium,tier_3,supermarket_type2,1018.0082,12
food,9.3,regular,0.03362713,meat,156.1314,out017,ultra_high,tier_2,supermarket_type1,620.5256,14
food,16.25,lf,0.0,canned,90.2804,out018,medium,tier_3,supermarket_type2,1653.8472,12
food,6.65,low_fat,0.053397989,canned,149.3734,out045,ultra_high,tier_2,supermarket_type1,296.9468,19
food,5.94,regular,0.049163321,breads,186.4556,out010,ultra_high,tier_3,grocery_store,563.2668,23
food,20.0,regular,0.104245198,canned,105.3622,out049,medium,tier_1,supermarket_type1,1270.3464,22
food,13.1,regular,0.044281996,fruits_and_vegetables,178.5318,out045,ultra_high,tier_2,supermarket_type1,3067.3406,19
food,12.857645184135976,regular,0.067373081,breads,258.8988,out027,medium,tier_3,supermarket_type3,3083.9856,36
food,15.6,low_fat,0.087646694,snack_foods,221.5798,out013,high,tier_3,supermarket_type1,5509.495,34
food,17.6,lf,0.010096684,snack_foods,160.4552,out017,ultra_high,tier_2,supermarket_type1,2599.2832,14
food,11.0,regular,0.13341564,canned,218.7798,out045,ultra_high,tier_2,supermarket_type1,2203.798,19
food,20.25,regular,0.018789455,fruits_and_vegetables,222.0772,out013,high,tier_3,supermarket_type1,3113.2808,34
food,12.857645184135976,regular,0.080697998,frozen_foods,39.8506,out019,small,tier_1,grocery_store,37.9506,36
food,10.395,regular,0.036957777,meat,230.5352,out045,ultra_high,tier_2,supermarket_type1,4580.704,19
food,7.365,low_fat,0.042552205,fruits_and_vegetables,225.172,out035,small,tier_2,supermarket_type1,3395.58,17
food,18.85,low_fat,0.039723999,snack_foods,41.048,out045,ultra_high,tier_2,supermarket_type1,918.804,19
drinks,12.857645184135976,low_fat,0.058444176,soft_drinks,73.0696,out019,small,tier_1,grocery_store,223.7088,36
food,12.857645184135976,low_fat,0.036109413,fruits_and_vegetables,140.6154,out027,medium,tier_3,supermarket_type3,4538.0928,36
food,15.1,regular,0.019965179,frozen_foods,130.531,out049,medium,tier_1,supermarket_type1,908.817,22
food,20.2,regular,0.121442754,snack_foods,94.9752,out049,medium,tier_1,supermarket_type1,1342.2528,22
food,10.695,regular,0.127727102,dairy,121.144,out046,small,tier_1,supermarket_type1,1917.504,24
non-consumable,12.35,low_fat,0.163941937,household,117.0124,out046,small,tier_1,supermarket_type1,1540.6612,24
food,11.35,low_fat,0.0,snack_foods,52.4008,out035,small,tier_2,supermarket_type1,809.6128,17
food,17.0,low_fat,0.136008489,fruits_and_vegetables,171.7106,out045,ultra_high,tier_2,supermarket_type1,1711.106,19
food,7.05,low_fat,0.084966021,snack_foods,111.1912,out046,small,tier_1,supermarket_type1,1965.4416,24
drinks,9.695,low_fat,0.070843019,hard_drinks,177.7344,out017,ultra_high,tier_2,supermarket_type1,1605.9096,14
food,6.78,low_fat,0.066608487,fruits_and_vegetables,184.624,out035,small,tier_2,supermarket_type1,5406.296,17
non-consumable,12.857645184135976,low_fat,0.006665667,household,164.1184,out027,medium,tier_3,supermarket_type3,3797.7232,36
non-consumable,9.1,low_fat,0.134393836,household,48.0718,out010,ultra_high,tier_3,grocery_store,47.2718,23
non-consumable,9.1,low_fat,0.055514919,household,112.5518,out049,medium,tier_1,supermarket_type1,341.5554,22
food,12.857645184135976,low_fat,0.054670967,seafood,158.6604,out019,small,tier_1,grocery_store,316.9208,36
food,16.7,lf,0.022190488,dairy,113.1886,out017,ultra_high,tier_2,supermarket_type1,3335.658,14
drinks,6.13,low_fat,0.076891526,dairy,61.5536,out045,ultra_high,tier_2,supermarket_type1,796.2968,19
drinks,14.15,low_fat,0.035943717,soft_drinks,40.5138,out046,small,tier_1,supermarket_type1,446.7518,24
drinks,20.7,low_fat,0.09261307,dairy,76.367,out013,high,tier_3,supermarket_type1,306.268,34
food,5.155,low_fat,0.083198341,frozen_foods,246.0776,out046,small,tier_1,supermarket_type1,990.7104,24
drinks,15.35,low_fat,0.096379585,soft_drinks,196.5768,out035,small,tier_2,supermarket_type1,4729.8432,17
food,9.8,regular,0.015087112,meat,250.1408,out035,small,tier_2,supermarket_type1,4005.4528,17
non-consumable,10.695,low_fat,0.06375108,household,36.7848,out035,small,tier_2,supermarket_type1,782.9808,17
food,6.65,low_fat,0.053372768,canned,149.5734,out049,medium,tier_1,supermarket_type1,2524.0478,22
food,12.857645184135976,regular,0.04586701,frozen_foods,37.9506,out027,medium,tier_3,supermarket_type3,910.8144,36
non-consumable,14.65,low_fat,0.0,household,161.5552,out010,ultra_high,tier_3,grocery_store,324.9104,23
food,12.857645184135976,regular,0.029023048,canned,177.837,out027,medium,tier_3,supermarket_type3,6704.606,36
food,5.26,regular,0.041837331,baking_goods,161.8868,out049,medium,tier_1,supermarket_type1,5077.3908,22
food,12.15,low_fat,0.030815427,frozen_foods,252.0698,out010,ultra_high,tier_3,grocery_store,1014.6792,23
food,12.857645184135976,regular,0.072762086,fruits_and_vegetables,120.9072,out019,small,tier_1,grocery_store,122.5072,36
food,18.25,low_fat,0.132596101,frozen_foods,226.2062,out010,ultra_high,tier_3,grocery_store,677.1186,23
food,7.905,low_fat,0.0,frozen_foods,109.1254,out017,ultra_high,tier_2,supermarket_type1,1627.881,14
non-consumable,15.25,low_fat,0.061434045,household,130.9968,out018,medium,tier_3,supermarket_type2,2348.9424,12
food,7.075,low_fat,0.058676973,dairy,142.0128,out017,ultra_high,tier_2,supermarket_type1,2588.6304,14
food,11.8,regular,0.057373797,meat,151.4366,out013,high,tier_3,supermarket_type1,1360.2294,34
food,9.1,low_fat,0.173973652,baking_goods,126.5362,out013,high,tier_3,supermarket_type1,1761.7068,34
food,7.05,regular,0.05587277,breads,222.1088,out017,ultra_high,tier_2,supermarket_type1,4026.7584,14
food,15.2,low_fat,0.019064377,snack_foods,238.2248,out049,medium,tier_1,supermarket_type1,3555.372,22
non-consumable,5.82,low_fat,0.080640478,household,167.779,out046,small,tier_1,supermarket_type1,2886.243,24
non-consumable,8.39,low_fat,0.120474481,household,165.5868,out035,small,tier_2,supermarket_type1,1965.4416,17
food,8.575,Regular,0.071958197,dairy,195.3794,out049,medium,tier_1,supermarket_type1,3511.4292,22
food,16.2,low_fat,0.036057562,fruits_and_vegetables,260.3278,out018,medium,tier_3,supermarket_type2,2342.9502,12
non-consumable,20.2,low_fat,0.0,household,187.1898,out013,high,tier_3,supermarket_type1,2993.4368,34
food,7.75,low_fat,0.043238822,baking_goods,92.5436,out046,small,tier_1,supermarket_type1,1701.7848,24
food,5.325,regular,0.0,dairy,55.8298,out035,small,tier_2,supermarket_type1,485.3682,17
food,12.857645184135976,regular,0.13956116,seafood,170.4764,out027,medium,tier_3,supermarket_type3,3435.528,36
food,15.6,low_fat,0.081562686,baking_goods,112.7544,out017,ultra_high,tier_2,supermarket_type1,1118.544,14
food,12.857645184135976,low_fat,0.015385857,frozen_foods,208.9928,out027,medium,tier_3,supermarket_type3,9678.0688,36
food,11.8,regular,0.0,meat,102.4674,out010,ultra_high,tier_3,grocery_store,203.7348,23
food,12.65,regular,0.076474728,frozen_foods,191.8846,out017,ultra_high,tier_2,supermarket_type1,1146.5076,14
non-consumable,18.6,low_fat,0.118661426,others,58.7588,out018,medium,tier_3,supermarket_type2,858.882,12
food,15.0,low_fat,0.058346234,snack_foods,44.0744,out013,high,tier_3,supermarket_type1,633.8416,34
non-consumable,12.857645184135976,low_fat,0.028382853,health_and_hygiene,109.4596,out019,small,tier_1,grocery_store,647.1576,36
food,20.6,low_fat,0.023585598,fruits_and_vegetables,94.7778,out017,ultra_high,tier_2,supermarket_type1,1314.2892,14
non-consumable,14.15,low_fat,0.0,household,197.111,out049,medium,tier_1,supermarket_type1,3731.809,22
food,6.17,low_fat,0.010630949,meat,65.9826,out046,small,tier_1,supermarket_type1,1162.4868,24
food,12.857645184135976,regular,0.043978369,fruits_and_vegetables,178.4318,out027,medium,tier_3,supermarket_type3,2526.0452,36
food,12.3,low_fat,0.009463757,baking_goods,73.838,out017,ultra_high,tier_2,supermarket_type1,1245.046,14
food,9.065,low_fat,0.115233813,frozen_foods,94.4094,out013,high,tier_3,supermarket_type1,2856.282,34
food,12.857645184135976,regular,0.05336162,canned,200.1742,out027,medium,tier_3,supermarket_type3,6171.3002,36
non-consumable,20.2,low_fat,0.074177667,household,93.2462,out013,high,tier_3,supermarket_type1,1018.0082,34
drinks,4.59,low_fat,0.070780558,soft_drinks,114.586,out046,small,tier_1,supermarket_type1,1245.046,24
food,6.11,regular,0.0,fruits_and_vegetables,131.2968,out010,ultra_high,tier_3,grocery_store,260.9936,23
food,13.65,regular,0.026643448,meat,37.9532,out049,medium,tier_1,supermarket_type1,862.8768,22
food,11.15,regular,0.008326735,dairy,149.9708,out017,ultra_high,tier_2,supermarket_type1,1956.1204,14
food,17.35,regular,0.146527359,seafood,147.905,out049,medium,tier_1,supermarket_type1,2247.075,22
food,12.5,low_fat,0.020697723,breads,198.8742,out046,small,tier_1,supermarket_type1,5773.1518,24
non-consumable,18.35,low_fat,0.030556922,health_and_hygiene,190.6162,out045,ultra_high,tier_2,supermarket_type1,3271.0754,19
food,16.7,Regular,0.117026714,baking_goods,189.2214,out010,ultra_high,tier_3,grocery_store,188.4214,23
non-consumable,6.095,low_fat,0.08152738,others,140.3154,out018,medium,tier_3,supermarket_type2,1843.6002,12
food,6.76,regular,0.028982682,fruits_and_vegetables,79.596,out046,small,tier_1,supermarket_type1,1438.128,24
food,13.5,regular,0.159587755,fruits_and_vegetables,145.3102,out013,high,tier_3,supermarket_type1,729.051,34
non-consumable,8.39,low_fat,0.121178848,household,165.1868,out017,ultra_high,tier_2,supermarket_type1,2784.3756,14
non-consumable,14.65,low_fat,0.083698962,household,163.4552,out018,medium,tier_3,supermarket_type2,2599.2832,12
non-consumable,5.51,low_fat,0.034668802,health_and_hygiene,98.5726,out017,ultra_high,tier_2,supermarket_type1,1761.7068,14
non-consumable,16.35,low_fat,0.090562192,household,198.211,out046,small,tier_1,supermarket_type1,1964.11,24
food,13.8,regular,0.056825065,snack_foods,230.9984,out013,high,tier_3,supermarket_type1,4633.968,34
food,20.85,low_fat,0.021362955,fruits_and_vegetables,103.2306,out049,medium,tier_1,supermarket_type1,2404.2038,22
food,20.25,regular,0.102704495,canned,94.312,out035,small,tier_2,supermarket_type1,2982.784,17
non-consumable,20.75,low_fat,0.025169703,health_and_hygiene,150.4734,out049,medium,tier_1,supermarket_type1,1187.7872,22
food,16.2,regular,0.016650191,frozen_foods,97.4726,out035,small,tier_2,supermarket_type1,1174.4712,17
food,10.695,regular,0.086764795,snack_foods,156.7972,out035,small,tier_2,supermarket_type1,3427.5384,17
food,18.6,low_fat,0.015858893,snack_foods,152.9366,out017,ultra_high,tier_2,supermarket_type1,453.4098,14
food,12.857645184135976,low_fat,0.018275994,canned,115.2808,out019,small,tier_1,grocery_store,117.1808,36
food,6.92,low_fat,0.038454076,dairy,61.5852,out046,small,tier_1,supermarket_type1,813.6076,24
food,7.47,regular,0.153011599,frozen_foods,215.2218,out017,ultra_high,tier_2,supermarket_type1,3419.5488,14
food,9.3,Regular,0.033489979,meat,156.6314,out049,medium,tier_1,supermarket_type1,1241.0512,22
food,12.65,regular,0.127283051,frozen_foods,191.7846,out010,ultra_high,tier_3,grocery_store,382.1692,23
food,12.857645184135976,low_fat,0.113669629,canned,89.0198,out019,small,tier_1,grocery_store,174.4396,36
drinks,17.85,low_fat,0.02492239,soft_drinks,153.4998,out018,medium,tier_3,supermarket_type2,2922.1962,12
food,15.7,regular,0.01903743,fruits_and_vegetables,60.5536,out017,ultra_high,tier_2,supermarket_type1,490.0288,14
food,12.857645184135976,regular,0.0,snack_foods,58.7588,out019,small,tier_1,grocery_store,400.8116,36
food,11.3,regular,0.054637635,meat,93.3094,out049,medium,tier_1,supermarket_type1,3046.7008,22
food,12.15,low_fat,0.018485511,frozen_foods,253.1698,out018,medium,tier_3,supermarket_type2,1522.0188,12
food,16.2,low_fat,0.044472637,frozen_foods,43.3454,out017,ultra_high,tier_2,supermarket_type1,922.7988,14
food,7.81,regular,0.055451725,canned,122.6046,out018,medium,tier_3,supermarket_type2,2365.5874,12
food,12.857645184135976,regular,0.051643608,snack_foods,107.3622,out019,small,tier_1,grocery_store,317.5866,36
drinks,17.6,low_fat,0.041851756,soft_drinks,162.7526,out017,ultra_high,tier_2,supermarket_type1,3124.5994,14
food,18.5,regular,0.0,dairy,144.2102,out035,small,tier_2,supermarket_type1,2041.3428,17
drinks,5.88,low_fat,0.003606726,hard_drinks,154.1998,out018,medium,tier_3,supermarket_type2,1384.1982,12
food,12.857645184135976,regular,0.093883945,canned,200.4742,out019,small,tier_1,grocery_store,398.1484,36
food,6.55,low_fat,0.024521191,breads,100.6332,out035,small,tier_2,supermarket_type1,2665.8632,17
food,6.305,regular,0.123115764,snack_foods,95.6436,out046,small,tier_1,supermarket_type1,661.8052,24
non-consumable,5.03,low_fat,0.008644894,household,122.6756,out035,small,tier_2,supermarket_type1,2665.8632,17
food,19.0,regular,0.097313129,frozen_foods,48.0718,out046,small,tier_1,supermarket_type1,992.7078,24
food,18.0,low_fat,0.038978526,snack_foods,148.6418,out013,high,tier_3,supermarket_type1,2795.6942,34
food,20.5,low_fat,0.036344721,fruits_and_vegetables,122.3756,out017,ultra_high,tier_2,supermarket_type1,2544.6876,14
food,7.485,low_fat,0.069514712,snack_foods,108.7228,out017,ultra_high,tier_2,supermarket_type1,1326.2736,14
food,16.1,regular,0.047801883,frozen_foods,127.4362,out046,small,tier_1,supermarket_type1,2265.0516,24
food,11.65,regular,0.076002991,snack_foods,83.4908,out045,ultra_high,tier_2,supermarket_type1,503.3448,19
food,12.6,low_fat,0.056394771,seafood,51.3982,out017,ultra_high,tier_2,supermarket_type1,473.3838,14
drinks,8.52,low_fat,0.027114238,soft_drinks,151.9682,out045,ultra_high,tier_2,supermarket_type1,1677.1502,19
food,6.67,regular,0.12332588,snack_foods,90.2514,out013,high,tier_3,supermarket_type1,974.0654,34
food,9.035,regular,0.174450933,meat,151.0708,out017,ultra_high,tier_2,supermarket_type1,2708.4744,14
drinks,9.8,lf,0.02316823,soft_drinks,47.506,out010,ultra_high,tier_3,grocery_store,186.424,23
food,10.85,low_fat,0.162107603,snack_foods,106.3622,out013,high,tier_3,supermarket_type1,2117.244,34
food,6.89,regular,0.136984147,snack_foods,192.682,out018,medium,tier_3,supermarket_type2,2703.148,12
non-consumable,13.15,low_fat,0.024651269,household,179.5686,out046,small,tier_1,supermarket_type1,1422.1488,24
food,9.8,low_fat,0.026192765,snack_foods,215.685,out018,medium,tier_3,supermarket_type2,649.155,12
food,12.857645184135976,regular,0.098663652,dairy,62.9194,out027,medium,tier_3,supermarket_type3,2105.2596,36
food,12.6,regular,0.031598706,baking_goods,172.9764,out045,ultra_high,tier_2,supermarket_type1,2233.0932,19
food,13.65,regular,0.031573246,canned,99.47,out018,medium,tier_3,supermarket_type2,299.61,12
food,16.7,regular,0.052493162,frozen_foods,113.9176,out049,medium,tier_1,supermarket_type1,2519.3872,22
food,12.857645184135976,regular,0.04016342,snack_foods,181.166,out027,medium,tier_3,supermarket_type3,3415.554,36
non-consumable,17.85,low_fat,0.01806055,health_and_hygiene,97.0094,out045,ultra_high,tier_2,supermarket_type1,2094.6068,19
food,12.857645184135976,regular,0.086837543,frozen_foods,106.2306,out027,medium,tier_3,supermarket_type3,2090.612,36
non-consumable,16.5,low_fat,0.012689327,health_and_hygiene,39.7506,out018,medium,tier_3,supermarket_type2,227.7036,12
food,4.615,regular,0.102407778,canned,234.33,out017,ultra_high,tier_2,supermarket_type1,3961.51,14
food,10.65,regular,0.085617517,snack_foods,229.3668,out017,ultra_high,tier_2,supermarket_type1,2303.668,14
food,12.8,low_fat,0.069902438,starchy_foods,261.3252,out018,medium,tier_3,supermarket_type2,3410.2276,12
non-consumable,16.75,lf,0.075889215,health_and_hygiene,37.6532,out045,ultra_high,tier_2,supermarket_type1,575.2512,19
food,12.15,low_fat,0.021757269,breads,165.0184,out049,medium,tier_1,supermarket_type1,3302.368,22
non-consumable,5.5,low_fat,0.047059016,others,100.1016,out013,high,tier_3,supermarket_type1,2125.2336,34
drinks,4.61,low_fat,0.123151947,hard_drinks,175.2396,out018,medium,tier_3,supermarket_type2,2093.2752,12
food,12.857645184135976,regular,0.025616191,snack_foods,188.1872,out027,medium,tier_3,supermarket_type3,6239.8776,36
drinks,8.575,low_fat,0.023866079,soft_drinks,107.128,out013,high,tier_3,supermarket_type1,958.752,34
non-consumable,18.75,low_fat,0.010381661,household,207.8954,out049,medium,tier_1,supermarket_type1,2292.3494,22
food,8.985,low_fat,0.184440421,fruits_and_vegetables,99.67,out017,ultra_high,tier_2,supermarket_type1,3295.71,14
food,7.435,low_fat,0.123338082,starchy_foods,206.1638,out018,medium,tier_3,supermarket_type2,1656.5104,12
food,17.25,regular,0.159165324,fruits_and_vegetables,63.4194,out035,small,tier_2,supermarket_type1,1547.985,17
food,10.8,low_fat,0.138171603,dairy,191.4504,out010,ultra_high,tier_3,grocery_store,575.2512,23
non-consumable,17.7,low_fat,0.020993364,household,166.8474,out010,ultra_high,tier_3,grocery_store,168.4474,23
drinks,20.7,low_fat,0.0,dairy,78.467,out046,small,tier_1,supermarket_type1,1607.907,24
food,16.5,regular,0.159720671,snack_foods,144.5128,out046,small,tier_1,supermarket_type1,3595.32,24
food,16.75,low_fat,0.081485126,fruits_and_vegetables,258.0988,out045,ultra_high,tier_2,supermarket_type1,8994.958,19
food,6.115,regular,0.011419301,frozen_foods,91.0488,out018,medium,tier_3,supermarket_type2,1629.8784,12
drinks,18.85,low_fat,0.137410256,hard_drinks,161.7578,out049,medium,tier_1,supermarket_type1,1604.578,22
food,20.35,regular,0.0,meat,81.6276,out046,small,tier_1,supermarket_type1,1787.0072,24
